prompt_id,completion_idx,coherence,extension,drift,rater_id
14,16,2,2,0,austin
7,9,1,1,1,austin
2,18,2,3,1,austin
1,18,2,1,0,austin
19,18,5,2,0,austin
8,4,1,1,1,austin
13,5,1,3,1,austin
19,1,3,1,0,austin
19,12,5,2,0,austin
14,5,2,1,0,austin
19,17,2,1,0,austin
2,10,1,1,1,austin
13,6,1,1,1,austin
1,17,5,3,0,austin
13,12,2,1,0,austin
25,10,1,1,0,austin
1,0,1,1,1,austin
14,0,4,2,0,austin
19,3,2,1,0,austin
8,5,3,2,0,austin
13,19,4,2,0,austin
25,6,4,2,0,austin
13,18,4,2,0,austin
1,2,1,1,1,austin
1,19,1,1,1,austin
25,1,3,2,0,austin
8,18,1,1,1,austin
19,7,5,3,0,austin
19,14,1,1,1,austin
8,0,2,1,1,austin
25,11,3,2,0,austin
8,16,1,1,1,austin
1,3,1,1,1,austin
13,16,4,3,0,austin
7,13,1,1,1,austin
2,12,1,1,1,austin
13,3,1,1,1,austin
1,14,1,1,1,austin
25,2,3,2,0,austin
7,12,1,1,1,austin
7,2,1,1,1,austin
19,6,5,3,0,austin
14,11,4,2,0,austin
8,12,1,1,1,austin
8,3,3,2,1,austin
13,8,3,2,0,austin
14,17,3,2,1,austin
19,4,4,2,0,austin
1,16,3,2,0,austin
14,2,1,1,1,austin
8,7,2,1,1,austin
7,14,2,1,0,austin
2,5,2,1,1,austin
8,15,2,1,0,austin
8,9,2,1,1,austin
8,1,2,2,1,austin
8,14,1,1,1,austin
13,2,2,1,0,austin
19,15,2,1,0,austin
2,16,2,1,1,austin
25,7,1,1,1,austin
19,5,4,3,0,austin
8,6,1,1,1,austin
19,8,4,2,0,austin
7,11,1,1,1,austin
19,11,2,1,0,austin
1,4,2,2,1,austin
13,11,1,1,0,austin
25,3,3,1,0,austin
7,1,1,1,1,austin
25,14,3,2,0,austin
14,13,4,3,0,austin
13,9,2,2,1,austin
25,0,4,3,0,austin
13,15,2,1,0,austin
2,11,1,1,1,austin
14,9,1,1,1,austin
2,1,2,1,1,austin
14,15,1,2,1,austin
1,9,1,1,1,austin
2,14,1,1,1,austin
25,8,1,1,0,austin
14,18,1,1,1,austin
7,7,1,1,1,austin
2,0,2,1,1,austin
14,1,1,2,1,austin
13,1,2,2,0,austin
14,10,1,1,1,austin
25,9,3,3,1,austin
19,16,3,2,0,austin
14,19,2,3,1,austin
13,14,1,1,1,austin
14,6,4,3,0,austin
14,4,1,1,1,austin
2,9,2,3,1,austin
13,4,4,3,0,austin
14,12,3,2,0,austin
25,4,3,3,0,austin
13,10,3,3,0,austin
2,4,2,2,0,austin
8,13,3,2,0,austin
7,6,2,2,0,austin
8,19,3,2,1,austin
13,0,2,2,1,austin
2,17,3,2,0,austin
25,12,2,3,0,austin
1,10,3,2,0,austin
19,0,2,2,1,austin
1,15,4,3,0,austin
8,8,2,2,0,austin
7,18,1,1,0,austin
13,13,1,1,0,austin
1,5,2,2,1,austin
14,3,2,2,1,austin
2,13,2,2,0,austin
8,17,1,1,0,austin
7,4,2,2,0,austin
19,10,2,3,0,austin
7,5,1,1,1,austin
1,12,3,3,0,austin
7,8,1,1,1,austin
1,11,2,2,0,austin
1,13,4,2,0,austin
7,3,3,2,0,austin
13,17,2,2,0,austin
19,2,3,1,0,austin
2,7,2,1,1,austin
2,19,2,1,0,austin
19,13,3,2,0,austin
13,7,2,1,0,austin
25,5,1,1,1,austin
7,0,4,2,0,austin
1,1,2,2,0,austin
8,11,3,2,0,austin
14,14,5,3,0,austin
7,16,1,1,0,austin
14,7,1,1,0,austin
7,10,1,1,0,austin
25,13,1,1,1,austin
19,9,3,2,0,austin
7,19,3,3,0,austin
7,15,3,2,0,austin
2,3,2,2,0,austin
1,7,4,3,0,austin
1,8,4,3,0,austin
14,8,3,2,0,austin
2,2,2,2,0,austin
19,19,2,2,0,austin
2,6,2,1,0,austin
2,15,4,2,0,austin
7,17,3,2,0,austin
8,2,5,2,0,austin
8,10,2,1,0,austin
1,6,4,2,0,austin
2,8,3,3,0,austin
